Nominee,Vacancy Date,Days Before Election,Nomination Type,Nomination Date,Days Before Election,Hearings Date,Days Before Election,Senate Vote Date,Days Before Election,Result,Result Date,Election Date,Inauguration Date,President,President’s party before election,Nominating President’s Party,Senate’s party before election,Senate’s party after election,President’s party after election,House’s party before election,House’s party after election,Vacancy before election year?,Vacancy after election day?,Vacancy Reason,Senate hearing?,Hearing Refusal Reason,Cloture vote?,Confirmation vote?,Vote Count,Vote Refusal Reason,Confirmed by opposition Senate?,Confirmed by newly elected Senate?,Notes
Amy Comey Barret,09/18/2020,46,New,09/26/2020,38,TBD,N/A,TBD,N/A,TBD,TBD,11/03/2020,01/20/2021,Donald Trump,Republican,Republican,Republican,TBD,TBD,Democratic,TBD,No,No,Death,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,
Neil Gorsuch,02/13/2016,269,New,02/01/2017,-85,None,N/A,04/07/2017,-150,Confirmed,04/07/2017,11/08/2016,01/20/2017,Donald Trump,Democratic,Republican,Republican,Republican,Republican,Republican,Republican,No,No,Death,No,Hearing held,Yes,Yes,54-45,Vote held,No,Yes,Fillied the seat Garland was nominated to.
Merrick Garland,02/13/2016,269,New,03/16/2016,237,None,N/A,None,N/A,No Action,N/A,11/08/2016,01/20/2017,Barack Obama,Democratic,Democratic,Republican,Republican,Republican,Republican,Republican,No,No,Death,No,Wait for election,No,No,N/A,Wait for election,No Action,No Action,
Homer Thornberry,06/13/1968,145,New,06/26/1968,132,,25147,None,N/A,Withdrawn,10/04/1968,11/05/1968,01/20/1969,Lyndon Johnson,Democratic,Democratic,Democratic,Democratic,Republican,Democratic,Democratic,No,No,Resignation,No,Nomination withdrawn,No,No,N/A,Nomination withdrawn,Withdrawn,Withdrawn,Fortas failing to be elevated to Chief Justice ended need for this nomination.
Abe Fortas,06/13/1968,145,Elevation,06/26/1968,132,,25147,None,N/A,Withdrawn,10/04/1968,11/05/1968,01/20/1969,Lyndon Johnson,Democratic,Democratic,Democratic,Democratic,Republican,Democratic,Democratic,No,No,Resignation,Yes,Hearing held,Yes,No,Voice Vote,Cloture vote failed,Withdrawn,Withdrawn,Filibustered and cloture vote to end filibuster failed. Ethical issues revealed at hearings due to private political collaboration with Johnson and receiving privately funded stipend to teach an American University course equal to 40% of his court salary.
William Brennan,09/07/1956,60,New,01/14/1957,-69,,20765,03/16/1955,601,Confirmed,03/16/1955,11/06/1956,01/21/1957,Dwight Eisenhower,Republican,Republican,Democratic,Democratic,Republican,Democratic,Democratic,No,No,Resignation,Yes,Hearing held,Unknown,Yes,Voice Vote,Vote held,Yes,No,"Appointed as recess appointment by Eisenhower, then confirmed following year with new senate. Selected because he was a Democrat, and Eisenhower had already appointed two Republicans."
Frank Murphy,11/16/1939,355,New,01/04/1940,306,,14920,01/16/1940,294,Confirmed,01/16/1940,11/05/1940,01/20/1941,Franklin Roosevelt,Democratic,Democratic,Democratic,Democratic,Democratic,Democratic,Democratic,Yes,No,Death,Yes,Hearing held,N/A,Yes,Voice Vote,Vote held,No,No,
Benjamin Cardozo,01/12/1932,301,New,02/15/1932,267,,12001,02/24/1932,258,Confirmed,02/24/1932,11/08/1932,03/04/1933,Herbert Hoover,Republican,Republican,Republican,Republican,Democratic,Republican,Republican,No,No,Resignation,Yes,Hearing held,N/A,Yes,Voice Vote,Vote held,No,No,
Harlan Stone,01/05/1925,-62,New,01/05/1925,-62,,9075,02/05/1925,-93,Confirmed,02/05/1925,11/04/1924,03/04/1925,Calvin Coolidge,Republican,Republican,Republican,Republican,Republican,Republican,Republican,No,Yes,Resignation,Yes,Hearing held,N/A,Yes,71-6,Vote held,No,No,
John Clarke,06/10/1916,150,New,01/14/1916,298,,6156,07/24/1916,106,Confirmed,07/24/1916,11/07/1916,03/04/1917,Woodrow Wilson,Democratic,Democratic,Democratic,Democratic,Democratic,Democratic,Democratic,No,No,Resignation,Yes,Hearing held,N/A,Yes,Voice Vote,Vote held,No,No,Charles Hughes resigned as justice to run as the Republican candidate for president against Wilson. Clarke was unanimously confirmed.
Louis Brandeis,01/02/1916,310,New,01/28/1916,284,,6156,06/01/1916,159,Confirmed,06/01/1916,11/07/1916,03/04/1917,Woodrow Wilson,Democratic,Democratic,Democratic,Democratic,Democratic,Democratic,Democratic,No,No,Death,Yes,Hearing held,N/A,Yes,47-22,Vote held,No,No,
Mahlon Pitney,10/14/1911,388,New,02/19/1912,260,,4693,03/13/1912,237,Confirmed,03/13/1912,11/05/1912,03/04/1913,William Taft,Republican,Republican,Republican,Democratic,Democratic,Democratic,Democratic,Yes,No,Death,Yes,Hearing held,N/A,Yes,50-26,Vote held,No,No,
